firm,year,sector,emp,wage
1,1977,7,5.0409999,13.1516
1,1978,7,5.5999999,12.3018
1,1979,7,5.0149999,12.8395
1,1980,7,4.7150002,13.8039
1,1981,7,4.0929999,14.2897
1,1982,7,3.1659999,14.8681
1,1983,7,2.9360001,13.7784
2,1977,7,71.319,14.7909
2,1978,7,70.642998,14.1036
2,1979,7,70.917999,14.9534
2,1980,7,72.030998,15.491
2,1981,7,73.689003,16.196899
2,1982,7,72.418999,16.131399
2,1983,7,68.517998,16.305099
3,1977,7,19.156,22.691999
3,1978,7,19.440001,20.6938
3,1979,7,19.9,21.2048
3,1980,7,20.24,22.197001
3,1981,7,19.57,24.871401
3,1982,7,18.125,24.8447
3,1983,7,16.85,28.9077
4,1977,8,26.16,14.8283
4,1978,8,26.74,14.8379
4,1979,8,27.280001,14.8756
4,1980,8,27.83,15.2332
4,1981,8,27.169001,17.252899
4,1982,8,24.504,19.314199
4,1983,8,22.562,20.005501
5,1976,7,86.677002,20.632299
5,1977,7,87.099998,18.2782
5,1978,7,87,18.1369
5,1979,7,90.400002,18.1896
5,1980,7,89.199997,19.289301
5,1981,7,82.699997,19.8242
5,1982,7,73.699997,19.3873
6,1976,3,0.74800003,23.1889
6,1977,3,0.76599997,20.539301
6,1978,3,0.76200002,20.9387
6,1979,3,0.72899997,21.7626
6,1980,3,0.73100001,23.470699
6,1981,3,0.77899998,24.1252
6,1982,3,0.78200001,25.206499
7,1976,3,1.6,30.851299
7,1977,3,1.65,28.555
7,1978,3,1.6799999,29.860201
7,1979,3,1.6799999,30.589399
7,1980,3,1.66,27.4886
7,1981,3,1.5599999,31.486799
7,1982,3,1.54,32.0728
8,1976,3,9.1450005,30.908899
8,1977,3,10.855,24.467899
8,1978,3,10.749,28.055799
8,1979,3,10.959,28.744499
8,1980,3,10.698,28.485399
8,1981,3,8.1739998,31.7356
8,1982,3,4.7010002,29.896299
9,1976,3,2.006,26.0825
9,1977,3,2.6559999,21.9545
9,1978,3,2.7119999,22.809999
9,1979,3,2.744,23.372
9,1980,3,2.757,23.0737
9,1981,3,2.849,24.304399
9,1982,3,2.7520001,26.898399
10,1976,7,3.823,23.3533
10,1977,7,3.9349999,21.3251
10,1978,7,3.5280001,20.9319
10,1979,7,3.52,20.4536
10,1980,7,3.467,23.4946
10,1981,7,3.0899999,25.955299
10,1982,7,3.2620001,26.0361
11,1976,3,1.359,23.061399
11,1977,3,1.346,20.227501
11,1978,3,1.3380001,22.143499
11,1979,3,1.353,22.549601
11,1980,3,1.2640001,22.5875
11,1981,3,1.158,25.9585
